Gene,logFC,AveExpr,P.Value,adj.P.Val,B
PRAME,3.764716996956607,12.17404272042289,1.44006314702643e-91,2.773417614858202e-87,90.84161846359653
OTX1,5.636378269608424,6.8119361349609555,5.700990171619736e-72,5.489768485761225e-68,71.24404970770925
MNX1,4.778430746013465,6.408140274904789,1.032192539363263e-61,6.626332038532361e-58,60.986239284313804
TFAP2A,5.03593504270206,9.403240923293406,1.488880762603387e-60,7.168588651744658e-57,59.827140081439836
SDC1,3.0810202877467505,11.840908246153212,1.9597950669271794e-59,7.54873863879011e-56,58.70778933984551
RNFT2,2.5748554540853696,8.031356857538244,2.6480957377790276e-59,8.49994596898105e-56,58.57706631770759
AUNIP,3.0059615155251294,7.061357425784198,3.5244557478513925e-59,9.69678474969571e-56,58.4529079379503
GRIN2D,4.521950858986509,8.454135600994068,2.3507012470271524e-57,5.659019414561991e-54,56.628802562288094
TMPRSS4,3.700589015940631,11.345765650217729,3.3482802068999565e-54,7.164947611631808e-51,53.47517820443676
ADM2,3.352041072632338,8.04754786333903,1.0144401723119814e-51,1.953710327855645e-48,50.99377356085433
TRPM2,2.456801788756329,9.181569944349086,1.3375491300945936e-51,2.3418053360447072e-48,50.87369025675563
B3GNT4,2.881435675000941,5.386954272489481,2.4492410835836785e-49,3.930827835728172e-46,48.61096846431713
PRSS8,2.6567383451720024,11.889835010423017,2.334211494111623e-47,3.458044551161211e-44,46.63185979672065
ZNF695,3.5186989670033415,5.452614537296486,3.113849991799627e-47,4.283545499433501e-44,46.506702313188214
TMPRSS13,3.420863730236684,9.149986018352974,1.442137359928733e-46,1.8516082276578314e-43,45.840993372197715
DBNDD1,2.281347366682985,10.156651599416188,4.663034952628011e-45,5.6128368845414286e-42,44.3313313291999
CDC20,3.6484727640374004,10.708530796333767,1.1750845063447082e-44,1.3312325004525137e-41,43.92993089992885
PRC1,2.493350250665405,4.341375928284472,1.1069708817605508e-43,1.1843973451014693e-40,42.95586380284037
JPT1,2.391307719262128,11.588744530392773,1.2197656930439178e-43,1.2363930253859373e-40,42.91372358571126
KIF1A,4.790262139612026,10.937104086911853,1.5668038271148406e-43,1.5087537453202358e-40,42.80498537630414
LAD1,2.5122890217068967,11.238688216030194,2.684721972531725e-43,2.3921042598754923e-40,42.57110068279394
PRR36,2.3176358228489837,9.940571293359847,2.7325558812638677e-43,2.3921042598754923e-40,42.563430947886445
MTFR2,3.1042345660759953,6.949043282107714,5.377615164472573e-43,4.50293436750336e-40,42.26941028019491
GNGT1,3.515066336255646,3.8817990864040444,1.3282582789741833e-42,1.0658719247818249e-39,41.876717468471796
CBX2,2.3717594419035835,9.70677758941975,1.4646459291563443e-42,1.1283046379848814e-39,41.83426735114522
MYBL2,4.1530294286766845,10.907782385994938,4.3598009849222246e-42,3.229438737254505e-39,41.36053333484214
BHLHA15,2.936327443776959,6.393575537171395,9.651300265763369e-42,6.884236734012471e-39,41.01541417264533
VAX2,3.2330331870096414,7.203761591396026,1.2229081672657973e-41,8.411424426204282e-39,40.91260615453129
KRT8,2.4661268482711356,14.683167041241989,2.977080086389813e-41,1.9770891511648762e-38,40.526209482246344
HOXB13,6.610044016423281,7.315634389803866,4.028812177661465e-41,2.576931478995464e-38,40.394822978853014
SBK1,2.6416759986500455,10.526100324089805,4.147924391134503e-41,2.576931478995464e-38,40.38216916858298
VAV3,2.6514017863658057,10.482558979336044,9.215750239057992e-41,5.546441682938058e-38,40.03546930380679
AMH,3.6718512333420787,6.998058159739405,2.191763027061733e-40,1.2791261860055127e-37,39.659206403473654
BUB1,3.268910100977073,9.426371350576668,2.5661537694960933e-40,1.4535751601978018e-37,39.59071732331465
AURKA,2.8857932864430396,8.943801102930639,5.657475144935701e-40,3.1130661090376187e-37,39.24737734536104
PAFAH1B3,2.0486468361116517,10.667753721572923,1.0827184304952631e-39,5.792242848030075e-37,38.965484470411866
GPI,1.3240782855249056,13.469498281982396,1.6723335682939172e-39,8.704722213992581e-37,38.77667709267413
ARTN,1.9276927214741182,7.038973956313376,2.7286667923345825e-39,1.3829314145676769e-36,38.56404949440911
SGO1,3.2359673695157944,6.88157428845885,3.241848311376572e-39,1.6008911956102922e-36,38.48920730999131
EFNA3,2.2574820697197264,7.628588586172813,4.1846066549536795e-39,2.0147834891938228e-36,38.37834535860539
RECQL4,2.554614942945843,9.782508680814047,5.546262300933218e-39,2.6052552598456793e-36,38.255999595062136
FAM83D,3.313792180155698,8.653110950991033,1.2259455066943116e-38,5.6215439317680345e-36,37.91152883378819
PLK1,3.205447158955052,9.5491159863474,4.369113224609514e-38,1.956854688203596e-35,37.359606700498496
POC1A,2.806188992097298,8.822438105804691,7.664105780517798e-38,3.354613936977097e-35,37.11553850972568
CDKN2A,4.467111187455123,9.880395099459786,1.0733370658458572e-37,4.593644122472303e-35,36.969263872769076
MTFP1,2.4924554634264835,4.847076577037867,1.4629467063150629e-37,6.124976221069955e-35,36.834771494500025
HIST1H2AM,4.043819464859824,0.8068203245829823,2.6605588765455465e-37,1.090206455391291e-34,36.575027125960865
SLC25A10,2.3708894644963525,9.336979704865323,4.382925160233772e-37,1.7585574096029629e-34,36.35823594499172
KLC3,3.1893577140926728,6.465174908464186,7.998592605686154e-37,3.1437733672022372e-34,36.09698642267746
ZNF280A,3.640009545847799,3.9439718559354,9.122113765482434e-37,3.513655780188524e-34,36.03990451580335
SLC2A6,1.933228825583569,8.37009859763662,1.2960099219622468e-36,4.894089232759003e-34,35.88739167359123
NECTIN4,2.657493726738612,9.822111995898455,2.8308729600583633e-36,1.0484573526493082e-33,35.54807961985553
OIP5,2.6013265488693285,5.179949739938572,4.2628354844757604e-36,1.549017898028654e-33,35.37030142774767
CYP2D6,2.2167983891024905,6.742564744396736,8.396644478949163e-36,2.9946477040755914e-33,35.07589423482171
CDCA5,3.086705238206974,9.669674929912286,1.0536218292010692e-35,3.6894005106515256e-33,34.97731524013116
S100A11,1.8171826094759815,13.990622744293587,1.3743424898276564e-35,4.726511073498363e-33,34.861905026441434
TSACC,2.272018033132176,4.327098140682096,2.3024419287667166e-35,7.779426158968105e-33,34.637811314587886
MCM10,3.4492212097865913,7.959063205144969,2.803269865119041e-35,9.30830591936683e-33,34.55233509157595
SMPDL3B,2.333557014780229,9.626193603298328,4.544531322859137e-35,1.4834428601176972e-32,34.34251089888678
TMEM8A,1.5907788889602148,11.64096321743228,5.86077518600173e-35,1.881211155120122e-32,34.23204493743965
GAPDH,1.419651027920833,15.579673786499209,8.489302407398852e-35,2.6802536895753196e-32,34.071127995629375
STIL,2.3133712413137926,8.559361839875411,1.117938035438263e-34,3.472640100726695e-32,33.951582267659816
HIST1H3J,3.6924542409553296,2.062978114576325,1.2224275960944952e-34,3.736941757648235e-32,33.91277685453386
TBC1D7,1.7385850525787618,9.282922077750806,2.0353591675632793e-34,6.030612647400185e-32,33.69135894234678
KIF2C,3.115816714446815,9.56004564760967,2.0115036417184873e-34,6.030612647400185e-32,33.69647917682535
HIST1H3H,3.1480952150979484,7.00906360468553,2.131877152924744e-34,6.22088213457237e-32,33.67123782466612
TFCP2L1,2.735463770672612,9.605266818204845,2.176671962107126e-34,6.256794823615095e-32,33.66220701688512
NDUFA13,1.6754924788378798,7.020624913615493,3.2356886216916823e-34,9.164136347817663e-32,33.490033278279675
ALDH3B2,2.586617372268744,10.048269747441822,3.6783382341208757e-34,9.97762197900478e-32,33.43434833859483
RNASEH2A,2.429619507877997,2.500168482810418,3.5799804048122443e-34,9.97762197900478e-32,33.44611935048049
RIMKLA,2.5800516171712067,7.516999539241737,3.6493102304804655e-34,9.97762197900478e-32,33.43778921538054
MAST1,2.4386076941636077,7.020142460007761,4.613716105163033e-34,1.2341049787407618e-31,33.33594913234513
DNMT3B,2.3220155807052283,8.65757001637913,7.470291303040691e-34,1.9708265781542558e-31,33.126662462597395
CABYR,1.6093635510007178,7.405248848042923,7.573802355252654e-34,1.9711332372947412e-31,33.12068603234737
CRACR2B,2.1786975732417675,10.229683202054174,7.980731702691808e-34,2.0493454914952206e-31,33.09795728911623
AQP5,3.2867873227615805,11.341692612750881,9.987076305751481e-34,2.530803981216681e-31,33.00056163190597
ECT2,2.457716545990798,10.235041539695825,1.3695347130025876e-33,3.4254375373658227e-31,32.86342695539658
CDCA2,3.2928533787642356,7.81746901814273,1.4955593995696134e-33,3.6926895482450235e-31,32.82519633328929
ENO1,1.4994354695650665,15.345486979150957,1.5805803968598626e-33,3.853214919382796e-31,32.80118340869844
APOBEC3B,2.6027371717715653,7.1185366458629815,1.882177620297884e-33,4.531107348664619e-31,32.725339394790105
LARGE2,2.149392991864535,10.897746833906254,1.918536452627347e-33,4.561616486561738e-31,32.71702994469371
FAM110A,1.9412834282537947,9.257489307901619,2.0063007844748574e-33,4.712115464414791e-31,32.697603957035824
HASPIN,2.9326702303088004,6.32302510754809,2.1806527570023865e-33,5.059902583989032e-31,32.661413485143036
NCMAP,2.4338565677253374,8.89384182169416,2.4480193622537566e-33,5.6126672497196545e-31,32.611185151523735
JSRP1,5.691860318142639,8.314734358723305,2.8962841918920855e-33,6.56229850019408e-31,32.53815882613683
CDCA8,3.0656887144157956,9.273479475642732,3.53815419612866e-33,7.9234083329351e-31,32.45122324404683
ERFE,4.313692183599219,8.216641493809629,4.01352656163445e-33,8.884656097760675e-31,32.3964738585043
CRYBG2,3.2947744293185237,7.122468357822754,5.965819793018749e-33,1.3056332203835011e-30,32.224329869324535
CKMT1B,2.8714707425368324,6.853268477651592,6.132222642116065e-33,1.3269716389271157e-30,32.21238208563646
PLA2G3,3.598517837188029,5.82684797942227,6.643631755976634e-33,1.4216633776483775e-30,32.17759444768053
KPNA2,2.2324823347470057,11.732574525562613,8.07338881642255e-33,1.7086307166536474e-30,32.09294413128216
RAC3,2.4424684108772268,8.80177463869218,8.49100451600016e-33,1.777481043191816e-30,32.07104092813655
NHSL1,2.020059957794887,9.337998318620759,9.380623356003954e-33,1.9425959700352706e-30,32.02776830116489
PRR11,2.4156598173666994,9.127597201921741,9.657052262535294e-33,1.9785656332358214e-30,32.015155418251005
NUP210,2.201497037118408,11.479223278828211,1.3820386854910922e-32,2.8017561098813625e-30,31.859479800188907
DPP3,1.6788947297818562,10.506894863879594,1.491788027100046e-32,2.9927443347833114e-30,31.826292882762083
PAX6,5.84718649033728,5.625393065016883,1.9593737026671033e-32,3.890265787594406e-30,31.707882725042467
NEK2,3.3038240604637235,8.931167289870626,2.2497077207585288e-32,4.4211347953151535e-30,31.647873901225093
PFKFB4,1.9368687864128493,9.036422901254294,3.0679074904398003e-32,5.9681646826646584e-30,31.513157740224116
PRAC2,8.572539714961877,3.4470664857545166,3.458102937779393e-32,6.659960447869332e-30,31.46116208317193
F12,3.1241245742981176,6.952390636495078,4.623423190292727e-32,8.816089823945309e-30,31.335036352982556
GRHL1,2.160600512781881,7.842160233422877,5.26171806012888e-32,9.934845894119814e-30,31.27887242652981
FAM72C,2.7601513767650516,3.4733557313742836,6.277004321852359e-32,1.1736779246073259e-29,31.202247572328105
DEPDC1B,3.02650097723675,7.783611184823055,6.821287282119694e-32,1.263184343907146e-29,31.166133659542005
PLEKHD1,3.336333861875587,5.931965448129449,9.881375992352396e-32,1.812432573682998e-29,31.00518257522243
HGD,2.7087767809010455,10.006724979518097,1.1071943747516883e-31,2.0116468361644118e-29,30.9557761293726
MELK,3.318805149262586,8.859178631954656,1.2114134821046756e-31,2.160241875171662e-29,30.916707597280705
SIX1,4.352417740196703,8.15317364222085,1.2007816022333436e-31,2.160241875171662e-29,30.920535974753584
ESPL1,3.188582784747135,9.10350776328653,1.2781196491930071e-31,2.2582849838356076e-29,30.893428488468704
ARSH,3.2412448234449136,4.127354648982354,1.3169178777925704e-31,2.2849118385952354e-29,30.880441306536724
OVOL1,2.900706176263758,7.153623009145327,1.311378766546226e-31,2.2849118385952354e-29,30.882271852579265
SPAG5,2.776014964350563,9.694690610109934,2.1499642676776134e-31,3.696978734928853e-29,30.667568757981787
IDH2,1.7296661971382583,12.537492700638005,2.226812715183676e-31,3.7952377063471167e-29,30.652316307520326
TSTA3,1.5667840018856962,11.687025522719578,2.559878171910904e-31,4.3246222555115877e-29,30.5917807028623
SLC16A3,2.0432292582572975,10.805291319611309,2.655779895467758e-31,4.4476230440707435e-29,30.575807921075416
PKMYT1,3.398455166889161,8.756335991198549,2.6845828096861934e-31,4.4571017527367583e-29,30.571123195077508
HOXB9,4.008221638046194,10.1747631327966,2.8801776601826637e-31,4.740969363885292e-29,30.54058072249866
HIST1H2BH,3.312723086405058,7.096569960570243,3.0734789635994457e-31,5.0162823186408244e-29,30.51236975505783
CCNE1,3.6624822810030273,9.435649391076062,6.481468218103482e-31,1.0489629950626467e-28,30.188326604192007
SEL1L3,1.8763913473951377,11.506958232105616,6.992303130649458e-31,1.1222063832764826e-28,30.155379752411022
CDT1,2.8021648406270163,9.384338048171854,8.401039375924395e-31,1.3371538623217184e-28,30.075666979735246
NFE2,2.3796544091188814,6.714615111732089,8.633640834937474e-31,1.362912203607056e-28,30.063806022236296
OAZ3,1.412908709739361,5.096785104693787,9.866330262551074e-31,1.5448427197274074e-28,30.005844351188607
ERCC6L,2.7386824130643306,7.0717290150326,1.0559010256893826e-30,1.6399675688509533e-28,29.976376788252423
TK1,2.9213670350007717,10.806122885566207,1.0766180624573473e-30,1.6587669811892842e-28,29.96793833828612
SULT2B1,3.8312232289984482,7.685593318572381,1.0902064004581817e-30,1.666371830668581e-28,29.962491272615136
PTTG1,3.009656292592116,9.862408491881464,1.2071684710430248e-30,1.8306187073872138e-28,29.918232116034694
ANKRD22,3.061809546446588,7.599538903000494,1.2268552516618413e-30,1.8459379134183908e-28,29.911206673713743
UBE2C,3.3719385130478674,10.559008810482924,1.7060422348607085e-30,2.547028480711813e-28,29.768010221621072
CDCP1,1.9533507422215146,10.789861153597487,1.9016182960957482e-30,2.817174366500617e-28,29.72087665276957
HIST1H2AE,2.515650606048657,6.885654509784606,3.562282149905032e-30,5.2370986202306115e-28,29.44827168529558
BIRC5,3.392178866158264,10.296715979987686,4.4983527918047314e-30,6.563164880103585e-28,29.34694648720057
KIFC1,3.027318992298713,10.177553363736797,4.903402503948729e-30,7.100348031845758e-28,29.309502455505793
TMEM63B,1.23424065220186,10.81860781782219,6.285925091327839e-30,9.034375472677823e-28,29.201630798726775
NCAPH,3.1498472960450576,8.808945080650945,7.628613499384049e-30,1.0882923509973141e-27,29.117554387901436
CSTB,1.371912955208776,12.713609960856207,1.073438120953237e-29,1.5200988802528229e-27,28.969222985697332
FOXM1,3.2668979957964375,9.766792552635138,1.2574139863977417e-29,1.767630362338256e-27,28.900521713238593
SIM2,6.324954300738885,7.190836194147342,1.3852512334045333e-29,1.933228514792602e-27,28.858471454479343
KRT18,2.1051941733355632,14.021897350426926,2.720521338298178e-29,3.7693899607399e-27,28.56534786337366
PHLDA2,2.6763960290416513,8.460264022471408,3.3456393934405084e-29,4.602404934162196e-27,28.47552087086873
GGH,2.44379055479039,9.843479737220123,3.882203077737089e-29,5.265306272826662e-27,28.410921750443322
HES6,2.49601990526543,10.466555694491369,3.862943743148225e-29,5.265306272826662e-27,28.413081616529837
ZNF724,1.9832203778321613,4.726131624196046,5.259672750505507e-29,7.083638986152838e-27,28.279041276201948
CCNF,2.113909402388344,8.945813523020613,5.42136155827086e-29,7.200689810395758e-27,28.265891628040237
TERT,3.741291578182193,5.037972239258428,5.38473603945484e-29,7.200689810395758e-27,28.268835581022994
CCNB1,2.6249391267742794,10.744106164850994,5.96339113529995e-29,7.866366429776832e-27,28.224506704601676
TUBA1C,1.835356315352961,10.731961748433793,6.284285352399333e-29,8.233268816452977e-27,28.201744103046643
TTK,3.0076819072871253,8.619225023775911,9.311324109826784e-29,1.211667506967257e-26,28.030988556107623
MCM2,1.79513653940881,9.897847140921929,1.0565405324627242e-28,1.3656318197784972e-26,27.97611383728915
